Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City
Imperial Unified,207724,477,0,208201,54089,262291,Imperial
King City Union,211973,0,0,211973,50274,262247,King City
Hollister School District,209000,0,0,209000,53148,262148,Hollister
Duarte Unified,217944,6459,0,224403,37294,261697,Duarte
Sonoma Valley Unified,210860,5575,0,216436,43985,260421,Sonoma
Merced Union High,196504,18787,0,215291,45004,260295,Merced
Moorpark Unified,204228,0,0,204228,55067,259295,Moorpark
Soledad Unified,185146,6078,0,191224,67799,259023,Soledad
Pacifica-San Mateo,212040,900,0,212940,45972,258912,Pacifica
Ripon Unified,197232,14114,0,211347,46962,258309,Ripon
Shasta Union High,209856,0,0,209856,48390,258247,Shasta Lake
Gonzales Unified,194854,13053,0,207908,49817,257726,Gonzales
San Carlos Elementary,207499,0,0,207499,50047,257547,San Carlos
Marysville Joint Unified,207200,14,0,207214,49791,257005,Marysville
Azusa Unified,216700,2796,0,219496,36604,256100,Azusa
Newhall,200000,13130,0,213130,42329,255459,Newark
Dinuba Unified,194844,12403,0,207247,48209,255456,Dinuba
Needles Unified,178500,28392,0,206892,47644,254536,Needles
Baldy View ROP,204472,4309,0,208781,45048,253829,Morro Bay
Mountain View Elementary-San Bernardino,210337,8270,0,218607,35125,253732,Mountain View
Atwater Elementary,204904,1000,0,205904,47816,253720,Atwater
Shasta County Office of Education,204492,1200,0,205692,46599,252291,Mount Shasta
Selma Unified,183800,23654,0,207454,44300,251755,Selma
Torrance Unified,160091,57263,0,217354,34267,251621,Torrance
Oxnard Union High,199266,1936,0,201202,49048,250251,Oxnard
Hart-Ransom Union Elementary,202184,4500,0,206684,43192,249876,Union City
Los Banos Unified,195100,1000,0,196100,53447,249547,Los Banos
Upland Unified,182066,12292,0,194358,55030,249388,Upland
Livingston Union,191676,8856,0,200532,48624,249156,Livingston
Loma Prieta Joint Union Elementary,211124,0,0,211124,37720,248845,Loma Linda
Dixon Unified,186594,4385,0,190979,57659,248638,Dixon
Carpinteria Unified,185468,6200,0,191668,54564,246232,Carpinteria
Eureka Union,203858,0,0,203858,41811,245670,Eureka
Atascadero Unified,201047,0,0,201047,43780,244827,Atascadero
Waterford Unified,188191,13800,0,201991,42364,244355,Waterford
Firebaugh-Las Deltas Unified,191469,0,0,191469,51990,243460,Firebaugh
Healdsburg Unified,195271,1500,0,196771,46593,243364,Healdsburg
Hermosa Beach City Elementary,203409,0,0,203409,39803,243212,Hermosa Beach
Kingsburg Elementary Charter,183204,16159,0,199364,43744,243108,Kingsburg
Mendota Unified,174678,49130,0,223808,16836,240645,Mendota
Ukiah Unified,197733,0,0,197733,42502,240235,Ukiah
McFarland Unified,180250,7960,0,188210,50974,239184,McFarland
Brawley Elementary,185733,10419,0,196152,42117,238270,Brawley
Pleasant Valley,196920,0,0,196920,41267,238187,Pleasant Hill
Corcoran Joint Unified,191570,0,0,191570,46338,237908,Corcoran
Live Oak Elementary,190662,0,0,190662,46902,237564,Live Oak
Coalinga-Huron Unified,187206,4833,0,192039,45358,237398,Coalinga
Hanford Joint Union High,183699,4800,0,188499,48667,237166,Hanford
Cupertino Union,150246,51471,0,201717,34741,236459,Cupertino
Vacaville Unified,195723,6600,0,202323,33649,235973,Vacaville
West Sonoma County Union High,180744,5400,0,186144,49278,235422,Sonoma
Placerville Union Elementary,167258,3999,0,171258,63036,234295,Placerville
Covina-Valley Unified,186725,7612,0,194337,39680,234017,Covina
Biggs Unified,158671,40917,0,199588,33952,233540,Biggs
Parlier Unified,174033,14127,0,188161,45173,233334,Parlier
Auburn Union Elementary,192801,0,0,192801,39588,232390,Auburn
North Orange County ROP-Adult,182038,7215,0,189253,42309,231562,Orange
Susanville Elementary,0,180056,0,180056,51224,231281,Susanville
Paso Robles Joint Unified,181907,7020,0,188927,42177,231104,Paso Robles
Escalon Unified,185950,0,0,185950,44576,230527,Escalon
Kingsburg Joint Union High,184207,0,0,184207,46104,230311,Kingsburg
Gridley Unified,185371,2616,0,187988,41976,229965,Gridley
Oroville Union High,186929,0,0,186929,42608,229538,Oroville
Live Oak Unified,178818,0,0,178818,49884,228703,Live Oak
Oroville City Elementary,174705,11360,0,186065,42166,228232,Oroville
Hope Elementary-Santa Barbara,185768,0,0,185768,41569,227337,Santa Barbara
Fremont Unified,194052,0,0,194052,32572,226625,Fremont
Dos Palos Oro Loma Joint Unified,178495,2499,0,180994,45129,226123,Dos Palos
Hughson Unified,185357,9099,0,194457,31061,225518,Hughson
