,Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City,Latitude,Longitude
134,Magnolia Elementary,256425,7200,0,263625,57537,321162,Hemet,33.747519,-116.971967
135,Hemet Unified,230685,6000,0,236685,33063,269748,Hemet,33.747519,-116.971967
136,Mt San Jacinto College,265151,5242,0,270393,72254,342647,San Jacinto,33.783908,-116.958636
137,Oceanside Unified,268882,10686,0,279568,61675,341243,Oceanside,33.195869,-117.379483
138,ABC Unified,268760,19119,0,287879,52516,340395,Auburn,38.896564,-121.076889
139,Auburn Union Elementary,192801,0,0,192801,39588,232390,Auburn,38.896564,-121.076889
140,Lammersville Joint Unified,234572,26958,0,261530,77808,339339,Farmersville,36.297728,-119.206778
141,Antioch Unified,266572,15901,0,282474,56600,339075,Antioch,38.004922,-121.805789
142,Soledad Unified,247814,13169,0,260984,77982,338966,Soledad,32.991156,-117.271147
143,Soledad Unified,185146,6078,0,191224,67799,259023,Soledad,32.991156,-117.271147
144,Moreno Valley Unified,282556,0,0,282556,54654,337211,Moreno Valley,33.942467,-117.229672
145,Butte-Glenn Community College District,256661,9820,0,266481,70068,336549,Blue Lake,40.882908,-123.98395
146,Hacienda la Puente Unified,281444,0,0,281444,54371,335816,La Puente,34.020011,-117.949508
147,Palm Springs Unified,271617,0,0,271617,61640,333257,Palm Springs,33.830297,-116.545292
148,College of the Sequoias,249999,9000,0,258999,69765,328765,El Monte,34.068622,-118.027567
149,El Monte City,244445,6600,0,251045,62260,313305,El Monte,34.068622,-118.027567
150,El Monte Union High,214085,11617,0,225702,46863,272565,El Monte,34.068622,-118.027567
151,El Segundo Unified,252498,7802,0,260300,68060,328360,El Segundo,33.919181,-118.416464
152,Fontana Unified,250000,9615,0,259615,68616,328231,Fontana,34.092233,-117.435047
153,La Mesa-Spring Valley,251287,12000,0,263287,64907,328194,La Mesa,32.767828,-117.023083
154,Oro Grande,254685,27673,0,282358,45566,327924,Arroyo Grande,35.118586,-120.590725
155,Los Gatos-Saratoga Union High,260000,2760,0,262760,64739,327499,Saratoga,37.263833,-122.023014
156,Saratoga Union Elementary,249000,667,0,249667,70822,320490,Saratoga,37.263833,-122.023014
157,Mill Valley Elementary,268077,7200,0,275277,51485,326763,Mill Valley,37.906036,-122.544975
158,Cupertino Union,246678,31826,0,278504,46767,325271,Cupertino,37.322997,-122.032183
159,Cupertino Union,150246,51471,0,201717,34741,236459,Cupertino,37.322997,-122.032183
160,Temple City Unified,249333,25671,0,275004,49885,324889,Temple City,34.107231,-118.057847
161,Stanislaus County Office of Education,246024,2973,0,248997,75617,324614,Clayton,37.941033,-121.935792
162,Coachella Valley Unified,250000,9000,0,259000,63102,322102,Coachella,33.6803,-116.173894
163,Morgan Hill Unified,266834,4200,0,271034,50445,321479,Morgan Hill,37.1305,-121.654389
164,Lodi Unified,268296,8400,0,276696,44604,321300,Lodi,38.134147,-121.272219
165,Brea-Olinda Unified,261332,4751,0,266083,54975,321058,Brea,33.916681,-117.900061
166,Redlands Unified,245885,19473,0,265358,55440,320798,Redlands,34.055569,-117.182539
167,Clovis Unified,230000,33997,0,263997,56748,320745,Clovis,36.825228,-119.702919
168,Victor Valley Union High,257125,1500,0,258625,61557,320182,Fountain Valley,33.709186,-117.953669
169,Fountain Valley Elementary,254201,3600,0,257801,52462,310263,Fountain Valley,33.709186,-117.953669
170,Hesperia Unified,260689,591,0,261280,58655,319936,Hesperia,34.426389,-117.300878
171,Monterey County Office of Education,235845,5480,0,241325,78360,319685,Monterey,36.600239,-121.894675
